input,output_raw,created_at
"Title: 나이키 테크플리스 바지 교신
Category: 남성의류 > 바지 > 트레이닝/조거팬츠 > 
Image: https://media.bunjang.co.kr/product/369301191_1_1763127714_w{res}.jpg","{""weight"":0.45,""volume"":[7,25,35]}",2025-11-21 09:27:31
"Title: 미샤 니트
Category: 여성의류 > 상의 > 니트/스웨터 > 
Image: https://media.bunjang.co.kr/product/367859679_1_1763257022_w{res}.jpg","{""weight"":0.5,""volume"":[5,25,30]}",2025-11-21 09:27:19
"Title: 듀가나디 머리 키링
Category: 패션 액세서리 > 키링/키케이스 > 
Image: https://media.bunjang.co.kr/product/361307040_1_1762698519_w{res}.jpg","{""weight"":0.02,""volume"":[7,6,5]}",2025-11-21 09:27:13
"Title: 퓨어쉴드 2배자력 맥세이프 방탄 범퍼 케이스 투명, 갤럭시S25 울트라
Category: 디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스
Image: https://shop-phinf.pstatic.net/20250117_282/17370888647186KgD9_JPEG/29819163273978928_45160443.jpg?type=m510","{""weight"":0.1,""volume"":[2,10,18]}",2025-11-21 09:27:06
"Title: 다이어리 인덱스 속지 A6 A7 바인더 동물캐릭터 내지 미니 다꾸
Category: 생활/건강>문구/사무용품>다이어리/플래너>속지/포켓
Image: https://shop-phinf.pstatic.net/20251110_147/17627560151497k7Mr_JPEG/6070457151628918_763425058.jpg?type=m510","{""weight"":0.12,""volume"":[1,11,15.5]}",2025-11-21 09:26:58
"Title: 조이맥스(VS)125 22년식 (개인)   보이져,크루심,PCX,NMAX
Category: 차량/오토바이 > 오토바이/스쿠터 > 오토바이(125cc 이하) > 
Image: https://media.bunjang.co.kr/product/369153358_1_1763083084_w{res}.jpg","{""weight"":185,""volume"":[139,76,216]}",2025-11-21 09:26:57
"Title: 제제원 태래포카 양도해요!!
Category: 스타굿즈 > 보이그룹 > 팬시/포토카드 > 
Image: https://media.bunjang.co.kr/product/361602838_1_1760027577_w{res}.jpg","{""weight"":0.1,""volume"":[1.5,10,15]}",2025-11-21 09:26:54
"Title: 슬리브리스 스퀘어넥 미니드레스  아이보리 (115371AY30) 여성
Category: 미니원피스
Image: https://d3ha2047wt6x28.cloudfront.net/oC32Dw2n0g0/pr:GOODS_DETAIL/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUwMzEzXzE3NDE4NTA4MzI3OTIzNzFtLmpwZw","{""weight"":0.35,""volume"":[4,26,32]}",2025-11-21 09:26:44
"Title: 체인소맨 5주차 특전 셔츠 포스터
Category: 스타굿즈 > 방송/예능/캐릭터 > 포스터/화보 > 
Image: https://media.bunjang.co.kr/product/370367516_1_1763553426_w{res}.jpg","{""weight"":0.25,""volume"":[1,32,45]}",2025-11-21 09:26:40
"Title: 프린세스 매직미러 티니핑 왕관 반지 거울 티아라 다이애나핑 머리띠 장난감
Category: 출산/육아>완구/인형>역할놀이/소꿉놀이>기타역할놀이/소꿉놀이
Image: https://shop-phinf.pstatic.net/20251114_275/1763047256128CyDVM_JPEG/17574238895534686_1206394227.jpg?type=m510","{""weight"":0.8,""volume"":[7,25,35]}",2025-11-21 09:26:27
"Title: 루시 미니 7집 앨범 선 LUCY
Category: 도서/취미/문구 > DVD/CD > 가요/팝/일본음악 > 가요
Image: https://sitem.ssgcdn.com/24/99/20/item/1000739209924_i1_500.jpg","{""weight"":0.6,""volume"":[2.5,15,20]}",2025-11-21 09:26:26
"Title: 푸마축구화 ZQJ 108374-03 퓨쳐 8 매치 로우 TT 풋살화
Category: 스포츠의류/운동화 > 스포츠화 > 런닝화
Image: https://gdimg.gmarket.co.kr/4403741472/still/600?ver=1761790884","{""weight"":1,""volume"":[13,22,33]}",2025-11-21 09:26:04
"Title: 슬로우앤드, 에이블리 자켓
Category: 여성의류 > 상의 > 니트/스웨터 > 
Image: https://media.bunjang.co.kr/product/368900796_1_1763261030_w{res}.jpg","{""weight"":0.4,""volume"":[5,25,30]}",2025-11-21 09:26:00
"Title: 나이키 Tech Fleece 트레이닝팬츠/여성(70호)/B146
Category: 여성의류 > 바지 > 트레이닝/조거팬츠 > 
Image: https://media.bunjang.co.kr/product/330739418_1_1745843796_w{res}.jpg","{""weight"":0.55,""volume"":[5,25,35]}",2025-11-21 09:26:00
"Title: [새상품] 마뗑킴 남자 유광 패딩 브라운 L
Category: 남성의류 > 아우터 > 패딩 > 
Image: https://media.bunjang.co.kr/product/366526849_1_1763594099_w{res}.jpg","{""weight"":1.2,""volume"":[18,35,45]}",2025-11-21 09:25:55
"Title: Marsell Zuccolona 더비 슈즈 MM2845150 666 TP934904553
Category: null
Image: https://contents.lotteon.com/itemimage/20251115161746/LO/24/88/05/03/22/_2/48/80/50/33/7/LO2488050322_2488050337_1.jpg","{""weight"":2,""volume"":[15,25,35]}",2025-11-21 09:25:51
"Title: 은혼 메지루시 2탄 일괄 카츠라 엘리자베스
Category: 스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 
Image: https://media.bunjang.co.kr/product/368660733_1_1763716771_w{res}.jpg","{""weight"":0.15,""volume"":[6,10,12]}",2025-11-21 09:25:40
"Title: 준지 카고 조거 데님 블루
Category: 남성의류 > 바지 > 데님/청바지 > 
Image: https://media.bunjang.co.kr/product/317064917_1_1763622849_w{res}.jpg","{""weight"":1,""volume"":[7,25,35]}",2025-11-21 09:25:34
"Title: 구매대행의뢰
Category: 
Image: null","{""weight"":0,""volume"":[0,0,0]}",2025-11-21 09:25:33
"Title: 코니스 에듀테이블
Category: 기타유아완구[미사용]
Image: https://image.coupangcdn.com/image/vendor_inventory/385a/451b0eab1cb26cb1b3dd7c527ec13c2a46811e3249b7221862cb59044a3f.jpg","{""weight"":4.2,""volume"":[28,47,58]}",2025-11-21 09:25:33
"Title: 호이데코 코지 단모 러그 [워셔블] - 50x100
Category: 가구/인테리어>카페트/러그>러그
Image: https://shop-phinf.pstatic.net/20250324_277/1742798947884NpXGU_JPEG/76931733998516137_1175007394.jpg?type=m510","{""weight"":1.2,""volume"":[15,15,50]}",2025-11-21 09:25:29
"Title: 마르셀 ZUCCOLONA 그레인드 레더 더비 슈즈 - 블랙 (MM2845 150666)
Category: 브랜드 남성신발>로퍼>로퍼
Image: https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/product/8513035179/B.webp?16417176","{""weight"":2,""volume"":[14,22,35]}",2025-11-21 09:25:23
"Title: 글리노 다용도 접이식 옷정리 트레이 수납 선반 리빙박스 정리함 5개 세트
Category: 생활/주방용품 > 생활용품 > 기타 생활용품 > 
Image: https://media.bunjang.co.kr/product/296455876_1_1729852449_w{res}.jpg","{""weight"":1.75,""volume"":[15,30,40]}",2025-11-21 09:25:22
"Title: NEWJEANS(뉴진스) - HOW SWEET STANDARD VER
Category: 도서음반/e교육 > 음반 > 가요
Image: https://gdimg.gmarket.co.kr/3748623368/still/600?ver=1763682358","{""weight"":0.5,""volume"":[2,18,18]}",2025-11-21 09:25:22
"Title: (SEASON'S GREETINGS) B1A4 비원에이포 2018 시즌 그리팅
Category: 생활/건강>음반>국내앨범
Image: https://shop-phinf.pstatic.net/20220928_202/1664352471146C5zz4_JPEG/65488305983208815_1458456256.jpg?type=m510","{""weight"":1.2,""volume"":[5,25,35]}",2025-11-21 09:25:20
"Title: 더리얼 골드듀 골라담기
Category: 홈리빙/가전 > 반려동물 > 강아지 사료/간식 > 
Image: https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/B00000015495201ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5","{""weight"":1,""volume"":[10,22,28]}",2025-11-21 09:25:18
"Title: 다얼유 레트로베이지 한영키캡 104키
Category: 디지털 > PC/노트북 > 키보드 > 
Image: https://media.bunjang.co.kr/product/369137829_1_1763068536_w{res}.jpg","{""weight"":0.5,""volume"":[5,16,46]}",2025-11-21 09:25:04
"Title: [다이노탱 에디션] 더페이스샵 소울 시크릿 블라썸 EDP 30ml
Category: 향수/디퓨저 > 향수 > 여성향수 > 
Image: https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023094007ko.png?l=ko&QT=100&SF=webp&sharpen=1x0.5","{""weight"":0.35,""volume"":[6,8,12]}",2025-11-21 09:24:58
"Title: 소이빈 기획)소녀레이스양기모상하(XS~XL)
Category: 출산/육아>유아동의류>상하세트
Image: https://shop-phinf.pstatic.net/20251110_262/17627280357075zC2s_JPEG/23979345851719111_1281655564.jpeg?type=m510","{""weight"":0.25,""volume"":[5,20,25]}",2025-11-21 09:24:49
"Title: (Standard ver.랜덤) 뉴진스 (NewJeans) - How Sweet
Category: 도서/교육/음반 > 음반 > 가요
Image: https://image.auction.co.kr/itemimage/41/a0/59/41a059bf60.jpg","{""weight"":0.5,""volume"":[3,19,19]}",2025-11-21 09:24:47
"Title: 미샤 MICHAA 춘추 데님 자켓 55
Category: 여성의류 > 아우터 > 자켓 > 
Image: https://media.bunjang.co.kr/product/355265904_1_1757464955_w{res}.jpg","{""weight"":0.9,""volume"":[10,28,35]}",2025-11-21 09:24:45
"Title: (신세계강남점)정상가 219000  남성/여성 경량패딩 무봉제 M제로스팟알파다운자켓 1BYPAW3002/3501
Category: 등산/아웃도어 > 남성등산의류 > 남성등산점퍼
Image: https://image.auction.co.kr/itemimage/53/24/5c/53245c1cd0.jpg","{""weight"":0.45,""volume"":[8,25,35]}",2025-11-21 09:24:43
"Title: 이음 토트 Medium (4colors)
Category: 뒤로 > home > 
Image: https://cdn.eqlstore.com/goods/EQBR/25/03/30/GQVK25033091418_0_ORGINL_1762401860316.jpg?RS=750","{""weight"":0.4,""volume"":[25,8,35]}",2025-11-21 09:24:38
"Title: 랑방 메리미 EDP 30ml/50ml 단품/기획
Category: 향수/디퓨저 > 향수 > 여성향수 > 
Image: https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0000/A00000000043210ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5","{""weight"":0.3,""volume"":[10,5,8]}",2025-11-21 09:24:37
"Title: 딜라이트 프로젝트 너티초코 단백질쉐이크 540g
Category: 푸드 > 식단관리/이너뷰티 > 프로틴 쉐이크 > 
Image: https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021955201ko.jpeg?l=ko&QT=85&SF=webp&sharpen=1x0.5","{""weight"":0.54,""volume"":[16,12,12]}",2025-11-21 09:24:30
"Title: NIKO AND 니코앤드 코튼 100% 원피스 M
Category: 롱원피스
Image: https://d3ha2047wt6x28.cloudfront.net/JXf03hCX1KE/pr:GOODS_DETAIL/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUxMTEwXzE3NjI3NDI2NzczODE2MTZtLmpwZw","{""weight"":0.6,""volume"":[5,28,35]}",2025-11-21 09:24:19
"Title: Bon Ton Toys
Category: 상세정보 > 구매안내 > 상품후기 (0) > 상품문의 (0) > 
Image: https://bibliotheque.co.kr/web/product/big/202511/9e1259be671b9782f2f845d1f2ded923.jpg","{""weight"":0.04,""volume"":[6,7,12]}",2025-11-21 09:24:08
"Title: 쿠션스티커 수첩 어디든 어울림 말랑캐릭터밴드 8개
Category: 생활/건강>문구/사무용품>스티커>기타스티커
Image: https://shop-phinf.pstatic.net/20250403_293/1743643876238ui3Io_JPEG/96919050397173436_1558214650.jpg?type=m510","{""weight"":0.18,""volume"":[2.5,15,20]}",2025-11-21 09:23:50
"Title: 빈티지 페이즐리 반다나
Category: 패션 액세서리 > 스카프/넥타이 > 스카프 > 
Image: https://media.bunjang.co.kr/product/369129904_1_1763053027_w{res}.jpg","{""weight"":0.05,""volume"":[1,15,20]}",2025-11-21 09:23:42
"Title: 본 톤 토이즈 미피 산타 키체인 10cm
Category: 
Image: https://inthestory.co.kr/web/product/big/202407/cc2d80968dd6a448dc919c2006645c32.jpg","{""weight"":0.03,""volume"":[10,7,7]}",2025-11-21 09:23:36
"Title: [새상품] 모프샌드 메지루시 피규어 가챠
Category: 키덜트 > 피규어/인형 > 
Image: https://media.bunjang.co.kr/product/362277820_1_1760290550_w{res}.jpg","{""weight"":0.025,""volume"":[6.5,6.5,6.5]}",2025-11-21 09:23:26
"Title: 미피 쿠션 스티커 (32개 1세트)
Category: 생활/건강>문구/사무용품>스티커>기타스티커
Image: https://shop-phinf.pstatic.net/20241118_123/17319069358041lo5T_JPEG/334397940775459_766913727.jpg?type=m510","{""weight"":0.1,""volume"":[2.5,10,20]}",2025-11-21 09:23:23
"Title: 붕괴 스타레일 포토카드 선데이
Category: 스타굿즈 > 방송/예능/캐릭터 > 팬시/포토카드 > 
Image: https://media.bunjang.co.kr/product/351697708_1_1755784509_w{res}.jpg","{""weight"":0.04,""volume"":[1,12,17]}",2025-11-21 09:23:16
"Title: [뿌니마켓] 라라랜드베베 25겨울 모음 백일 돌 6개월 아기 여아 남아 기모 긴팔 티셔츠 맨투맨
Category: 출산/육아>유아동의류>티셔츠
Image: https://shop-phinf.pstatic.net/20251102_121/1762067332249pvg0e_PNG/78292647092536661_1584624285.png?type=m510","{""weight"":0.25,""volume"":[4,20,25]}",2025-11-21 09:23:08
"Title: [겨울까지 쭉🖤만능부츠] 스웨이드 롱부츠 입구둘레39cm/*two-way boots* 다양한 연출 접어신는[스웨이드롱부츠/버클부츠] 버클스트랩 미들부츠 3CM 
Category: 여성신발
Image: https://cf.product-image.s.zigzag.kr/original/d/2025/8/17/25409_202508170916480921_49202.jpeg?width=720&height=720&quality=80&format=jpeg","{""weight"":1.8,""volume"":[15,30,50]}",2025-11-21 09:23:04
"Title: 젝시믹스 크롭 반팔 티셔츠 S 특가 상품
Category: 스포츠/레저 > 헬스/요가/필라테스 > 헬스/요가/필라테스 의류 > 
Image: https://media.bunjang.co.kr/product/368993690_1_1763011466_w{res}.jpg","{""weight"":0.17,""volume"":[3,25,30]}",2025-11-21 09:23:04
"Title: 데스노트 프로그램북 김준수 홍광호 고은성 김성철 뮤지컬
Category: 도서/티켓/문구 > 티켓 > 뮤지컬/연극 > 
Image: https://media.bunjang.co.kr/product/368889907_1_1763487780_w{res}.jpg","{""weight"":0.5,""volume"":[1.5,22,30]}",2025-11-21 09:22:57
"Title: 트루릴리젼 빈티지 워싱 스티치 청바지 27
Category: 여성의류 > 바지 > 데님/청바지 > 
Image: https://media.bunjang.co.kr/product/370552086_1_1763635407_w{res}.jpg","{""weight"":0.8,""volume"":[6,28,35]}",2025-11-21 09:22:56
"Title: [새상품/일괄] 디즈니 프린세스 메지루시 피규어 가챠
Category: 키덜트 > 피규어/인형 > 
Image: https://media.bunjang.co.kr/product/362277679_1_1762690218_w{res}.jpg","{""weight"":0.035,""volume"":[6,6,6]}",2025-11-21 09:22:51
"Title: 2025 뮤지컬 데스노트 MD 프로그램북 플북
Category: 스타굿즈 > 배우(남) > 포스터/화보 > 
Image: https://media.bunjang.co.kr/product/368025733_1_1763521402_w{res}.jpg","{""weight"":0.6,""volume"":[1.5,24,31]}",2025-11-21 09:22:34
"Title: 마뗑킴 스트링 코팅 백팩 블랙 ONE SIZE
Category: 패션잡화>남성가방>백팩
Image: https://shop-phinf.pstatic.net/20250917_272/1758072455609degFV_PNG/94137311385428240_1721737853.png?type=m510","{""weight"":0.6,""volume"":[8,30,40]}",2025-11-21 09:22:28
"Title: 우왁굳 이세계아이돌 이세돌 굿즈 일괄 판매합니다!!!
Category: 스타굿즈 > 걸그룹 > 포스터/화보 > 
Image: https://media.bunjang.co.kr/product/354836593_1_1761201244_w{res}.jpg","{""weight"":3.8,""volume"":[25,30,45]}",2025-11-21 09:22:06
"Title: 아이스크림카트 디럭스 (한영버전) 민트초코/핑크
Category: 장난감>학습완구>자석글자/숫자
Image: https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/product/4998372101/B.jpg?658000000","{""weight"":1.8,""volume"":[38,28,48]}",2025-11-21 09:22:05
"Title: 써스데이아일랜드 플라워 다이아몬드 가든 반다나_T256MHC152W 933682
Category: 패션잡화>스카프>미니/쁘띠스카프
Image: https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/pd/v2/1/3/9/3/7/8/turza/8836139378_B.webp","{""weight"":0.05,""volume"":[1.5,15,20]}",2025-11-21 09:21:54
"Title: bts 방탄 석진 runseokjin 고양 포카
Category: 스타굿즈 > 보이그룹 > 팬시/포토카드 > 
Image: https://media.bunjang.co.kr/product/370628470_1_1763673580_w{res}.jpg","{""weight"":0.05,""volume"":[1,10,15]}",2025-11-21 09:21:43
"Title: [NEW/신민아PICK] 라이필 더마콜라겐 탱탱 젤리 스틱 12포 (12일분)
Category: 건강식품 > 슬리밍/이너뷰티 > 피부건강 > 
Image: https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021444707ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5","{""weight"":0.3,""volume"":[5,9,18]}",2025-11-21 09:21:42
"Title: [국문택] 루이비통 향수 선 송 100ml 25%
Category: 뷰티/미용 > 향수/아로마 > 남여공용 향수 > 
Image: https://media.bunjang.co.kr/product/367746440_1_1762506664_w{res}.jpg","{""weight"":0.7,""volume"":[18,12,12]}",2025-11-21 09:21:27
"Title: 캠핑접이식쓰레기통 바구니 야외 휴대용 차박 캠프 바스켓 야외휴대용 쓰레기통 카키색 600D커버타입S번 그린
Category: 스포츠/레저>캠핑>기타캠핑용품
Image: https://shop-phinf.pstatic.net/20250511_242/1746899032488w7wrc_JPEG/989461556241056_1219881940.jpg?type=m510","{""weight"":0.8,""volume"":[8,35,35]}",2025-11-21 09:21:24
"Title: 스톤아일랜드 남성 패딩 판매합니다.
Category: 남성의류 > 아우터 > 패딩 > 
Image: https://media.bunjang.co.kr/product/368312977_1_1763061183_w{res}.jpg","{""weight"":1.8,""volume"":[20,40,50]}",2025-11-21 09:21:18
"Title: 푸마 퓨처6.1 넷핏 FG 265사이즈 퓨마 아디다스 나이키 축구화
Category: 신발 > 스포츠화 > 축구/풋살화 > 
Image: https://media.bunjang.co.kr/product/366874391_1_1763664607_w{res}.jpg","{""weight"":0.8,""volume"":[13,22,33]}",2025-11-21 09:21:16
"Title: 빈티지 모피 목도리
Category: 패션 액세서리 > 목도리/장갑 > 목도리 > 
Image: https://media.bunjang.co.kr/product/299930235_1_1762908049_w{res}.jpg","{""weight"":0.5,""volume"":[10,25,35]}",2025-11-21 09:21:05
"Title: GB2008 (NEW 스틸레토 힐 - 유광가죽)
Category: LOG IN > JOIN US > ORDER > MY PAGE > 
Image: https://fromgb911.cafe24.com/web/product/big/202202/e5d0609be9a0a94fcfd3f084c3f65bcc.jpg","{""weight"":1,""volume"":[12,20,32]}",2025-11-21 09:20:20
"Title: 새상품 피스마이너스원 반팔 화이트 피마원반팔 피스마마원 GD지디팝업
Category: 남성의류 > 상의 > 반팔 티셔츠 > 
Image: https://media.bunjang.co.kr/product/370643686_1_1763708928_w{res}.jpg","{""weight"":0.25,""volume"":[3,30,35]}",2025-11-21 09:20:08
"Title: S 스톤아일랜드 마이크로얀 경량패딩
Category: 남성의류 > 아우터 > 패딩 > 
Image: https://media.bunjang.co.kr/product/369996553_1_1763392671_w{res}.jpg","{""weight"":0.7,""volume"":[10,25,35]}",2025-11-21 09:20:00
"Title: ㅍㅁㅇㄹ
Category: 키덜트 > 피규어/인형 > 
Image: https://media.bunjang.co.kr/product/368884578_1_1763602448_w{res}.jpg","{""weight"":0.05,""volume"":[1,10,15]}",2025-11-21 09:20:00
"Title: 프린세스 티니핑 매직미러 다이아나핑 거울 왕관 반지 티아라 캐치티니핑 시즌6 여아 장난감
Category: 출산/육아>완구/인형>역할놀이/소꿉놀이>기타역할놀이/소꿉놀이
Image: https://shop-phinf.pstatic.net/20251114_110/1763108426192QhAl0_JPEG/409162437039186_240741161.jpg?type=m510","{""weight"":0.7,""volume"":[7,30,38]}",2025-11-21 09:19:57
"Title: 디스커버리 윈드스토퍼 오리털패딩 여95
Category: 여성의류 > 아우터 > 패딩 > 
Image: https://media.bunjang.co.kr/product/369135250_1_1763505326_w{res}.jpg","{""weight"":1,""volume"":[18,30,40]}",2025-11-21 09:19:47
"Title: 에이블리 블랙 셔링 반팔 미니 원피스 새상품
Category: 여성의류 > 원피스 > 미니 원피스 > 
Image: https://media.bunjang.co.kr/product/365306837_1_1763616514_w{res}.jpg","{""weight"":0.3,""volume"":[4,25,30]}",2025-11-21 09:19:25
"Title: 띠어리 사리오르 남성 반팔티셔츠 O1199506 YJY
Category: 수입명품 > 명품 의류 > 남성 상의
Image: https://gdimg.gmarket.co.kr/4384705765/still/600?ver=1756474424","{""weight"":0.28,""volume"":[3,25,35]}",2025-11-21 09:19:03
"Title: (100)스톤아일랜드 와펜 워시드 목폴라 긴팔
Category: 남성의류 > 상의 > 긴팔 티셔츠 > 
Image: https://media.bunjang.co.kr/product/370636750_1_1763682658_w{res}.jpg","{""weight"":0.7,""volume"":[7,28,35]}",2025-11-21 09:18:57
"Title: 정품 프라다 사피아노 가죽 클러치 백
Category: 가방/지갑 > 남성가방 > 클러치 > 
Image: https://media.bunjang.co.kr/product/366441683_1_1763611886_w{res}.jpg","{""weight"":0.8,""volume"":[10,25,35]}",2025-11-21 09:18:47
